kelime,tanımı nedir,ne işe yarar,nasıl yapılır,nerede bulunur,niçin yapılır,yanında neler bulunur,ne olunca yapılır,içinde neler bulunur,yapınca ne olur,hammaddesi nedir,neyi kimi yapılır,üst kavramı nedir,kim ne ile yapılır,kim kullanır,neye kime yapılır,sıfatları,nerede yapılır,rengi,kim ne yapar,şekli nasıl,fiziksel zihinsel,canlı cansız
acele etmek,"['bir işi hızla yapmak', 'çabuk davranmak']",,"['koşarak', 'koymak', 'koşmak']",,"['yetişmek', 'yetismek']",,"['geç kalmak', 'gec kalmak']",,['yorulmak'],,"['sınav', 'tartisma', 'insana', 'tartışma', 'ders']",,"['arkadas', 'görev', 'ayak', 'arkadaş', 'eylem', 'iş']",,"['okula', 'otobus', 'öğretmen', 'otobüs', 'herkese', 'zaman', 'okul', 'kendi']",,"['okul', 'evde', 'yol', 'iş', 'okulda', 'işte', 'sokak']",,"['ogrenci', 'öğrenci', 'memur', 'çocuk', 'insan']",,['fiziksel'],
aciklamak,['yemek yeme gereksinimi duymak'],,['konusmak'],,['ogretmek'],,['yanlis anlasilmak'],,['anlamak'],,['durum'],,['ornek'],,['ogrenci'],,['kafe'],,['hoca'],,,
acilmak,['açma işine konu olmak'],,['konusmak'],,['su uzerinde yol almak'],,['dikilmek'],,['balik tutmak'],,['kendi'],,['sandal'],,['kaptan'],,['telefon'],,['pencere'],,,
acmak,['bir şeyi kapalı durumdan açık duruma getirmek'],,['iterek'],,['sevindirmek'],,['yemek yapinca'],,['borek'],,['ev'],,['acacak'],,['paket'],,['apartman'],,['kisi'],,,
affetmek,"['yapılan hatayı hoşgörmek', 'hatayı hoşgörmek', 'bir hatayı unutmak', 'küs olunan kişiyi bağışlamak', 'aradaki kırgınlığı kaldırmak', 'birinin yaptığı yanlışı görmezden gelmek', 'suçlu kişiyi bağışlamak', 'suç ceza ve benzeri bir şeyi bağışlamak', 'bağışlamak', 'bir hata karşısında hata yapan kişiyi anlamak', 'bir kişiyi işlediği suçtan ötürü bağışlama', 'bir kişiyi yaptığı hatalar için bağışlamak', 'birine karşı kırgınlık durumunun geçmesi', 'özrü kabul etmek', 'suç', 'ceza ve benzeri bir şeyi bağışlamak', 'kusuru bağışlamak', 'sindirmek']",,"['konuşarak', 'bağışlamak', 'hoşgörü', 'özür dileyerek', 'söylemek', 'severek', 'söylerek', 'şefkatle', 'düşünerek', 'zor', 'söyleyerek', 'düşünmek', 'özür dilemek', 'zamanla', 'unutarak', 'vazgeçerek', 'anlayışlı', 'konuşmak', 'yürekten', 'kırgın', 'affeder', 'içten']",,"['affedilmez', 'affetirmek', 'hoşgörü', 'bağışlamak için', 'af dilediği için', 'şans vermek', 'barışmak', 'rahatlamak', 'üzülmek', 'sevmek', 'kırgınlık', 'anlasmak', 'özlemek', 'affetmek', 'üzmemek', 'anlaşmak', 'iyi hissetmek', 'suçsuzluk', 'huzura ermek', 'sevgi', 'unutmak', 'barışmak için']",,"['küsmek', 'kızmak', 'suç işlemek', 'bağışlamak', 'hata kabul edilince', 'hata yapılınca', 'küs kalmamak için', 'kızgın olmak', 'kırılmak', 'özür dilemek', 'kızınca', 'ozur dilemek', 'bunalınca', 'mutlu olmak', 'düsünce', 'sinirlenmek', 'pişman olmak', 'suçsuzluğu kanıtlamak', 'kırılınca', 'empati kurmak', 'sorun', 'hata yapmak', 'özür dilenmesi', 'çözülünce', 'daralınca']",,"['affedilir', 'barışmak', 'yarışılır', 'ders cikarmak', 'rahatlamak', 'huzurlu', 'kavuşmak', 'affedilmez', 'bağışlamak', 'anlaşmak', 'arkadaş olmak', 'mutluluk', 'ders çıkarmak', 'dost olmak', 'güvensizlik', 'vicdan rahatlaması']",,"['eş', 'hata', 'suç', 'kabahat', 'yanlış', 'kusur', 'insan', 'dost', 'affedilir', 'suclu', 'arkadaş', 'duygu', 'kız', 'söylem', 'çocuk', 'erkek', 'kardeş', 'insanı', 'suçlu']",,"['kanun', 'vicdan', 'suç', 'düşünceler', 'ceza', 'hiç', 'kalp', 'suçlu adam', 'insana', 'insan', 'özür', 'arkadaş', 'söz', 'duygu', 'hata yapan kişiyi', 'kul', 'mahkeme', 'kişi', 'anılar']",,"['eş', 'hata yapan kişi', 'başkasına', 'baba', 'hatalı kişi', 'diğer insana', 'arkadas', 'hasım', 'hata yapan kisi', 'insanlar', 'suçlu adam', 'insana', 'insan', 'evlat', 'düşman', 'dost', 'arkadaş', 'duygu', 'kişi', 'çocuk', 'üzen insana', 'konuşmak', 'suçlu']",,"['telefon', 'ev', 'akıl', 'konuşulan yerde', 'kalp', 'adliye', 'mahkeme', 'zihin', 'okulda', 'heryerde', 'sokak', 'her yerde']",,"['eş', 'öğrenci', 'baba', 'hata yapılan kişi', 'mahkum', 'mağdur', 'anne', 'insan', 'sevgili', 'ağabey', 'dost', 'arkadaş', 'kız', 'olgun insan', 'kişi', 'erkek', 'allan', 'hakim', 'adam', 'herkes', 'kırılan kişi', 'suçlu']",,['fiziksel'],
akbil,"['toplu ulaşımda kullanılan elektronik ücret toplama sistemi', 'içi para yüklü kart', 'şehir içi ulaşım için gerekli olan bir kart', 'ulaşım için kullanılan alet', 'araca binmek için gerekli bilet', 'otobüse binmek için kullanılan kart', 'toplu taşıma kullanmak için kullanılan bir nesne', 'elektronik ücret toplama sistemi', 'otobüse binmek için kullanılan bakiyesi kart', 'ödeme jetonu', 'toplu taşımada kullanılan ücret sistemidir', 'toplu ulaşım araç anahtarı', 'otobüse binmek için basılan nesne', 'toplu taşımalarda ücret ödemesi için kullanılan kart', 'otobüse binmek için gerekli olan manyetik kart', 'toplu taşımada kullanılan elektronik bilet', 'taşıtlarda ödeme yapmak için kullanılan alet', 'ıstanbul genelinde toplu ulaşımda kullanılan elektronik ücret', 'toplu taşımaya binerken kullanılan kart', 'ulaşım araçlarına binebilmek için ulaşım araçlarında kullanılan nesne', 'ulaşım kartı', 'toplu ulaşımda kullanılan cihaz']","['toplu taşımaya binmek', 'otobuse binmek', 'seyahat etmek', 'ulaşım', 'seyahat', 'toplu taşıma kullandırır', 'yolculuk yapabilmek', 'ulasim saglamak', 'toplu taşıma kullanabilmek', 'otobüse binerken kullanılır', 'sanal para yüklemek', 'yolculuk yapmak', 'toplu taşıma aracına ödeme', 'ulaşım sağlar', 'şehir içi ve dışı araçlara binmek', 'ulaşım araçlarına binmek', 'inip binmeye', 'otobüse binmek', 'otobüse binmek için kullanılır', 'ulaşım sağlamak', 'toplu taşıma kullanmak', 'ödeme yapmak', 'toplu taşımaya binmeye', 'vapur kullanmak', 'seyehat']",,"['vapur', 'öğrenci', 'otobüs', 'gişe', 'çanta', 'satış merkezlerinde', 'maket', 'akbil satış noktalarıinsanlar', 'ev', 'büfe', 'insan', 'akbil matik', 'canta', 'kart bayileri', 'öğretmen', 'metro', 'cüzdan', 'cep', 'cepte', 'büfelerde', 'beyaz masa', 'kartlık']",,"['anahtar', 'otobüs', 'kredi kartı', 'diğer kartlar', 'ehliyet', 'çanta', 'tren', 'kimlik', 'insan', 'metrobus', 'kart', 'kartvizit', 'otobus', 'canta', 'kimlik kartı', 'metro', 'bozuk para', 'cüzdan', 'anahtarlık', 'para', 'nüfus cüzdanı', 'fotoğraf', 'telefon', 'marmaray', 'belgeler']",,"['', 'sanal para', 'mıknatıs', 'ögrenci numarası', 'puan', 'bilet', 'kimlik numarası', 'soyisim', 'manyetik', 'aylık akbil', 'elektronik devre', 'kredi', 'ad', 'manyetik çip', 'kart', 'çip', 'yazılım', 'dijital para', 'soyad', 'bakiye', 'isim', 'bilgi', 'kod', 'para', 'kota', 'cip']",,"['meta', 'demir', 'plastik', 'kart', 'ağaç', 'kağıt', 'petro', 'bakır', 'rf kart', 'para', 'çip', 'sanal', 'manyetik']",,"['eşya', 'bilet', 'kart', 'alet', 'elektronik bilet', 'araç', 'nesne', 'otobüs bileti', 'makine', 'elektronik kart', 'esya']",,"['', 'halk', 'istanbuldaki insanlar', 'ögrenci', 'öğrenci', 'ıstanbulda yaşayan insanlar', 'yolcular', 'işçi', 'memur', 'büyük şehir belediye bölgesinde yaşanan yaş üstü kişiler', 'herkes', 'insanlar', 'yolcu', 'insan']",,,,"['kirmizi', 'yesil', 'mor', 'yeşil', 'karışık', 'siyah', 'beyaz', 'sarı', 'pembe', 'mavi', 'turuncu', 'kırmızı', 'kahverengi', 'gri', 'renkli']",,"['dikdörtgen cisim', 'yuvarlak', 'dikdortgen cisim', 'katı', 'yassı', 'dikdörtgen', 'dikdortgen']",,"['canli', 'canlı', 'cansız']"
akil etmek,['önlem veya çareyi zamanında düşünmek'],,['dusunerek'],,['sorun cozmek'],,['sorun'],,['cozum bulmak'],,['hile'],,['dusunerek'],,['ise'],,['heryer'],,['cocuk'],,,
akordeon,"['müzik yapmak için kullanılan körüklü çalgı', 'basmalı ve hava akımı yardımıyla çalınan bir müzik aleti', 'havalı müzik aleti', 'bir körüğü harekete geçirmekle yaratılan hava akımının etkilediği serbest meta dillerinin titreşmesiyle ses çıkaran havalı çalgı', 'havalı', 'körüklü bir müzik aracı', 'körüklü çalgı', 'bir müzik aleti', 'tuşlu', 'müzik aleti', 'bir çeşit müzik enstrümanı', 'hava ile çalışan müzik aleti', 'sıkıştırılan hava ve tuşlar ile çalınan bir çalgı', 'enstrüman', 'körüklü ve tuşlu elde çalınabilen çalgı', 'tuşlu yaylı müzik aleti', 'çalgı aleti', 'körüklü müzik aleti']","['müzik', 'şarkı çalmak', 'eğlence', 'melodi çıkarmak', 'ses', 'ses çıkartır', 'müzik çalmak', 'müzik üretmek', 'müzik yamak', 'ses çıkarmak', 'müzik aletidirses çıkarır', 'çalmak', 'müzik yapmak', 'müzik çalmak için', 'stres atmak', 'müzik üretmek için', 'muzik']",,"['müzik dükkanları', 'mağaza', 'çalgıcılara', 'sahne', 'orkestra', 'müzik aleti satılan yerlerde', 'muzik maket', 'ev', 'enstrüman satılan yer', 'tiyatro', 'kılıf', 'müzik evi', 'okul', 'sokak', 'müzisyen', 'el', 'müzik kursu', 'stüdyo', 'düğün salonu', 'sanat merkezi', 'müzik maket', 'konsercansız', 'sokak çalgıcısı', 'çalgı aleti satın yerlerde', 'müzik stüdyosu', 'müzik okulu', 'internet']",,"['müzik aletleri', 'nota', 'parmaklar', 'diğer müzik aletleri', 'nota defteri', 'gitar', 'klarnet', 'tuşlar', 'keman', 'mızıka', 'insan', 'diğer enstrümanlar', 'askılık', 'notalar', 'kemençe', 'saz', 'konser salonu', 'darbuka', 'flüt', 'müzisyen', 'sandalye', 'kablo', 'piyano', 'nota listesi', 'çalgı aletleri', 'armonika', 'mizika']",,"['', 'meta dilciler', 'hoparlör', 'vida', 'klavye', 'nota', 'hava torbaları', 'meta düdük', 'körük', 'çark', 'tuşlar', 'ses tuşları', 'tus', 'tuş', 'elektronik cihazlar', 'demir', 'yay', 'tel', 'hava', 'meta dilimler']",,"['meta', 'iletkenler', 'tel', 'plastik', 'demir', 'düğme', 'ahşap', 'tahta', 'ağaç', 'tuş', 'bakır', 'deri']",,"['müzik aletleri', 'çalgı', 'eşya', 'müzik aleti', 'alet', 'enstruman', 'enstrüman', 'çalgı aleti']",,"['konservatuar öğrencileri', 'müzisyenler', 'çalgıcılar', 'ilgililer', 'sanatcilar', 'herkes', 'insanlar', 'sanatçı', 'sanatçılar', 'çalgıcı', 'müzisyen']",,,,"['mor', 'değişkendir', 'karışık', 'siyah', 'beyaz', 'mavi', 'pembe', 'sarı', 'her renk', 'farklı', 'kahverengi', 'kırmızı', 'gri']",,"['dikdörtgen prizma', 'dikdörtgen küp', 'değişken', 'kutu', 'kıvrımlı', 'katı', 'dikdörtgen', 'kare prizma', 'kare', 'dikdörtgenler prizması', 'kutu gibi', 'körüklü']",,"['cansiz', 'cansız']"
akumulator,['araçlarda elektrik enerjisi kaynağı'],['devre calistirmak'],,['gemi'],,['araba'],,['kurşunlu'],,['saf su'],,['batarya'],,['sopor'],,,,['turuncu'],,['kup'],,['numara sonu']
akümülatör,"['kimyasal enerji depolayan cihaz', 'elektrik enerjisini kimyasal enerji olarak depo neden alet', 'istenildiğinde bunu elektrik enerjisi olarak veren cihaz', 'batarya', 'elektrik enerjisini kimyasal enerji olarak depo neden', 'motorlu araçlarda elektrik ihtiyacını karşılayan alet', 'kimyasal enerjisine çeviren ve elektrik enerjisine çeviren ve elektrik enerjisini kimyasal enerjiye çevirecek depo neden araçlar', 'elektrik sağlayan bir batarya', 'elektrik enerjisini depolayan alet', 'elektrik enerjisini kimyasal enerji olarak depolayan bir araç', 'enerji depolayabilen cihaz', 'araçlarda bulunan elektrik enerjisi kaynağı', 'elektrik depolayan alet', 'elektrik enerji kaynağı', 'enerji kaynağı', 'elektrik depolamaya yarayan alet', 'akım toplar', 'akü etmek için kullanılan nesne', 'elektrik enerjisi kaynağı olan bir cihaz', 'elektrik enerjisi kaynağı']","['motora güç verir', 'enerji depolama', 'arabaların çalışmasını sağlar', 'enerji sağlar', 'enerji depolamak', 'arabayı çalıştırmak', 'elektrik vermek', 'enerji', 'elektrik üretmek', 'enerji üretmek', 'enerji verme', 'elektrik üretir', 'elektrik sağlamak', 'enerji sağlamak', 'aracı çalıştırmak', 'enerji vermek', 'araba çalıştırmak', 'elektrik enerjisi depolar', 'elektrik akımı vermek', 'elektrik akımı sağlamak', 'elektrik elde etmek', 'devre çalıştırmak', 'enerji elde etmede kullanılır', 'araç çalıştırmak için', 'motoru çalıştırmak', 'elektrik depolamak', 'enerji depolar']",,"['gemi', 'otobüs', 'kamyon', 'tamirhane', 'otomativciler', 'bina', 'motorsiklet', 'alam', 'motosiklet', 'taşıt', 'elektrik odası', 'araç', 'otomobil', 'devre', 'iş yeri', 'et', 'araba tamircilerine', 'araba', 'telefon santrali']",,"['su', 'vida', 'priz', 'elektrikli aletler', 'motoru', 'egzoz', 'pil', 'tane', 'akü', 'elekronik araçlar', 'iş makinası', 'araç', 'devre', 'depo', 'su deposu', 'kablo', 'alet çantası', 'mazot', 'boru', 'araba', 'hidrolik sistem', 'xxo  kadar amasyaliyildizedutr ya veritoplama konusu ile gönderiniz']",,"['su', 'vida', 'elektirik', 'batarya', 'kurşunlu', 'kutup başı', 'elektronik devre', 'pil', 'enerji', 'meta plaka', 'pozitif taraf', 'plastik ayrıcı', 'elektrik aksanı', 'kimyasal', 'kurşun', 'kimyasal madde', 'meta', 'elektrot', 'entegre', 'demir', 'saf kurşun', 'anot', 'akü suyu', 'kimyasal enerji', 'plakalar', 'devre', 'asit', 'saf su', 'kablo', 'tel', 'negatif taraf', 'katot', 'sıvı', 'elektrik', 'elektrolit', 'meta plaklar', 'kurşun dioksit', 'sülfürik asit', 'çeşitli elementler', 'iyon', 'elektirik devresi']",,"['su', 'kurşun plaka', 'plastik', 'polipropilen', 'çelik', 'pil', 'petro', 'polietilen', 'kurşun', 'bakır', 'çinko', 'meta', 'cıva', 'demir', 'iyonlar', 'sülfirik asit', 'celik', 'asit', 'alüminyum', 'saf su', 'tel', 'sıvı', 'elektrik', 'elektrolit', 'karbon', 'lityum', 'kömür']",,"['makine', 'cihaz', 'pil', 'enerji', 'elektrik', 'işaretleyeceğim isimler', 'alet', 'enerji kaynağı', 'araç', 'elektirik', 'elektrik kaynağı', 'jeneratör', 'güç kaynağı', 'batarya', 'akü']",,"['araba sahipleri', 'mühendisler', 'makinist', 'iş yeri', 'elektronik', 'araçlar', 'araç sahibi', 'arabası olan herkes', 'araç sahipleri', 'herkes', 'araç kullananlar', 'aracı olanlar', 'araba', 'elektrikçi', 'insan', 'şoför', 'arabalar']",,,,"['siyah', 'lacivert', 'turuncu', 'sarı', 'mavi', 'her renk', 'kahverengi', 'gri']",,"['küp', 'dikdörtgen küp', 'dikdörtgen prizma', 'kutu', 'katı', 'dörtgen', 'dikdörtgen', 'kare', 'dikdörtgenler prizması', 'prizma', 'yamuk']",,"['numara sonu', 'cansız']"
